Image index,NumFibers,MMA,Vf,A11,A12,A13,A22,A23,A33,Elongation,Yield strength
704,21.0,2.87522558,0.441619413,0.9971,-7.51e-06,-1.21e-05,0.001323,-0.000142,0.001583,0.000711878,72.44700472
83,25.0,0.0,0.599993384571317,1.0,0.0,6.123e-17,0.0,0.0,3.749e-33,0.01045104193935,1456.513289246413
642,17.0,1.965774265,0.476281556,0.9988,-5.93e-06,-2.51e-06,0.0004566,-0.0002142,0.0007409,0.001048297,115.7095285
789,25.0,3.434807305,0.400847689,0.9958,4.33e-05,1.87e-05,0.002797,0.0002689,0.001436,0.000588438,53.83571074
418,24.0,2.011957701,0.432318009,0.9985,9.6e-07,2.84e-06,0.0005728,3.79e-06,0.0009284,0.000766475,76.8091762
312,25.0,1.375177685,0.525127055,0.9995,-7.18e-07,-3.11e-06,0.000215,-2.97e-06,0.0002876,0.002998974,366.0036613
742,17.0,2.62704480804905,0.425510799560631,0.9976,3.368e-05,-5.731e-05,0.0006307,-0.0004642,0.001788,0.0006197439208706,60.81854878372857
104,23.0,0.0,0.597988469,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.00754416,1047.827449
89,25.0,0.0,0.599992809,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.011384721,1587.036202
869,18.0,3.78577943,0.432996902,0.9953,3.68e-06,2.12e-06,0.003245,0.0008289,0.00146,0.000698827,68.90706254
903,15.0,4.367704233,0.421292725,0.9938,-1.22e-05,2.26e-05,0.003581,0.001968,0.002624,0.0007215,68.03591206
410,24.0,1.647882393,0.408173347,0.9991,-4.59e-07,1.94e-06,0.0003732,-7.16e-05,0.000518,0.001391712,132.5208685
747,17.0,3.561909527,0.425705921,0.9967,-1.22e-05,1.84e-05,0.00222,-0.0001608,0.001107,0.002068639,202.0952011
5,26.0,0.0,0.415997604065706,1.0,0.0,6.123e-17,0.0,0.0,3.749e-33,0.0096569718096792,944.0868106469004
378,22.0,1.134690101,0.594133221,0.9995,1.06e-06,9.76e-07,0.0003264,0.0001249,0.0001791,0.001990246,273.8815837
245,23.0,0.540440602,0.621012038,0.9999,-4.65e-08,3.13e-08,3.42e-05,5.97e-07,4.72e-05,0.003744507,539.4663065
6,26.0,0.0,0.415996952,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.011281632,1102.896394
93,24.0,0.0,0.599996086,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.009908428,1380.83173
254,21.0,0.582259313,0.588030328,0.9999,-1.1e-07,1.3e-07,5e-05,-2.71e-06,7.06e-05,0.008555205,1168.419838
85,25.0,0.0,0.599994391836909,1.0,0.0,6.123e-17,0.0,0.0,3.749e-33,0.0128997162954774,1798.2746800712378
82,25.0,0.0,0.599995116,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.008351754,1163.941244
54,25.0,0.0,0.524995488,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.011436649,1400.302304
699,21.0,3.227647998,0.420673824,0.9967,5.34e-06,-2.36e-05,0.001566,-0.0005936,0.001777,0.000813577,78.12237051
319,23.0,1.132453314,0.483109613,0.9995,-4.26e-07,-9.04e-08,0.0002286,-2.5e-05,0.0002494,0.003651443,409.358672
26,26.0,0.0,0.467998642,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.019624684,2149.831214
56,25.0,0.0,0.524992658,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.013648427,1671.173084
552,23.0,2.303615377,0.437433888,0.9979,2.02e-05,1.39e-05,0.001073,-4.25e-05,0.001004,0.00090739,92.08484078
901,17.0,3.163310662,0.476925395,0.9961,5.36e-05,4.47e-05,0.001691,0.0006342,0.00218,0.000525441,56.07336724
17,26.0,0.0,0.441996461,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.008639012,895.4093306
600,20.0,2.07657974981192,0.460338258732501,0.9985,-3.72e-06,3.131e-06,0.0008135,-9.811e-05,0.0006838,0.0007931368198435,84.50598630387454
604,18.0,2.716675574,0.432505112,0.9976,-6.21e-07,-1.44e-05,0.0008565,-0.0002091,0.001501,0.001000936,99.80290094
813,19.0,3.885456677,0.362158823,0.9936,-8.12e-05,2.88e-05,0.003742,0.0004134,0.002626,0.000473501,37.83577135
21,26.0,0.0,0.467989682,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.015813507,1732.167169
97,25.0,0.0,0.624993155,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.006252554,906.791146
446,22.0,1.882908169,0.462316377,0.9986,5.09e-06,1.28e-05,0.0005449,0.0002211,0.0008264,0.000496265,52.43117815
706,21.0,3.450512989,0.441899354,0.9959,-6.56e-05,0.000106,0.001205,-0.0005119,0.002863,0.000730671,73.48613898
