ID,f,c,v,r,t,w,dir,fracture,elongation,elastic modulus,tangent modulus,yield,surrogate_score,surrogate_elongation
240,0.6,22,22,1600,24,45,1,9.235573925,122.8370031,0.358047757,0.053723529,3.817258482,1.1205673758865244,-1.1205673758865244
212,0.6,20,20,400,21,60,0,9.983315828,123.7714513,0.254124249,0.068058507,3.025427198,-0.0585106382978729,0.0585106382978729
200,0.6,18,22,1600,21,50,1,18.98837787,57.34900157,0.665030621,0.309238517,5.141242437,1.1442080378250588,-1.1442080378250588
238,0.6,22,22,800,20,69,0,7.747814612,121.905009,0.175206804,0.055942299,2.139987574,-0.2659574468085113,0.2659574468085113
211,0.6,20,20,0,20,62,1,8.542549569,113.9164416,0.238336179,0.063272386,2.569283649,0.2009456264775408,-0.2009456264775408
188,0.6,18,18,800,22,40,1,13.66510631,130.3936672,0.290821695,0.091412667,3.91044858,0.5969267139479902,-0.5969267139479902
219,0.6,20,22,1200,22,60,0,6.404376786,152.4192206,0.141436932,0.036425904,1.633437775,-0.5585106382978728,0.5585106382978728
209,0.6,20,18,1200,20,71,0,1.759621014,71.72543844,0.058677599,0.021244224,0.662228098,-0.5065011820330976,0.5065011820330976
232,0.6,22,20,400,24,61,0,8.404271886,128.8832283,0.210907364,0.053475567,2.661672919,-0.053782505910166,0.053782505910166
194,0.6,18,20,1200,25,26,1,11.08966884,92.42711385,0.354741594,0.098775973,4.769414902,0.7807328605200945,-0.7807328605200945
165,0.6,16,16,1600,22,32,1,8.138293818,36.05689049,0.404318813,0.228988411,0.983832728,1.0591016548463354,-1.0591016548463354
182,0.6,18,16,400,26,52,1,9.234747731,89.71445719,0.223810305,0.093075133,2.783826239,0.4036643026004723,-0.4036643026004723
166,0.6,16,18,0,20,50,1,10.19989189,94.18911298,0.239901895,0.097612011,2.965585232,0.1442080378250587,-0.1442080378250587
216,0.6,20,22,0,20,58,0,10.93662117,156.2035624,0.299939016,0.053397441,3.486426823,0.1820330969267134,-0.1820330969267134
237,0.6,22,22,400,22,70,1,12.11927371,106.998558,0.280887053,0.100407423,4.364153292,0.4887706855791955,-0.4887706855791955
183,0.6,18,16,800,23,56,0,5.468521827,132.2303263,0.067342265,0.040551023,0.576614638,-0.3274231678487002,0.3274231678487002
207,0.6,20,18,400,20,55,1,8.954673728,119.9726645,0.17527004,0.06754498,2.483220192,0.4178486997635929,-0.4178486997635929
179,0.6,16,22,1200,20,45,0,8.562004832,124.1936588,0.188403734,0.061133181,2.220701418,-0.6294326241134756,0.6294326241134756
164,0.6,16,16,1200,23,33,1,14.84231958,53.39777629,0.576856553,0.262001245,5.590019566,0.8138297872340423,-0.8138297872340423
182,0.6,18,16,400,26,52,0,8.2968982,110.1949946,0.159781584,0.069238715,1.977889183,-0.0963356973995276,0.0963356973995276
193,0.6,18,20,800,23,30,0,6.992815505,131.6366704,0.174602744,0.045044026,1.925921586,-0.4503546099290781,0.4503546099290781
210,0.6,20,18,1600,20,68,0,4.007920441,101.4892324,0.10032187,0.035650668,0.610083673,-0.7706855791962182,0.7706855791962182
208,0.6,20,18,800,20,57,0,10.19286251,102.0492204,0.22013591,0.089403734,1.870485605,-0.3226950354609934,0.3226950354609934
194,0.6,18,20,1200,25,26,0,5.77275398,144.2559973,0.132211912,0.034539914,1.455663043,-0.7192671394799055,0.7192671394799055
239,0.6,22,22,1200,24,53,0,6.151806662,117.4864578,0.283136606,0.03356738,3.000221443,-0.5916075650118208,0.5916075650118208
228,0.6,22,18,800,24,72,0,8.095870583,120.6141027,0.211466609,0.056712791,2.477993085,-0.2517730496453908,0.2517730496453908
218,0.6,20,22,800,24,57,0,7.611008798,165.5895487,0.169438557,0.038310471,2.004051376,-0.3226950354609934,0.3226950354609934
178,0.6,16,22,800,24,34,0,10.31252209,98.48490397,0.274025274,0.09164079,3.218446455,-0.4314420803782507,0.4314420803782507
166,0.6,16,18,0,20,50,0,12.75274268,92.40211169,0.328669937,0.122791462,3.980939811,0.1442080378250587,-0.1442080378250587
214,0.6,20,20,1200,22,55,0,6.955179737,156.8656603,0.139152712,0.039154424,1.646525787,-0.5821513002364072,0.5821513002364072
237,0.6,22,22,400,22,70,0,8.955246478,125.3767776,0.186575395,0.06321921,2.441133471,-0.0112293144208044,0.0112293144208044
168,0.6,16,18,800,22,45,1,15.75659225,86.22678121,0.416295435,0.161628765,7.41418786,0.6205673758865244,-0.6205673758865244
