ID,f,c,v,r,t,w,dir,fracture,elongation,elastic modulus,tangent modulus,yield,surrogate_score,surrogate_elongation
110,0.4,18,18,1600,25,35,1,19.74845096,50.00233332,0.571634297,0.404980775,10.65570446,1.1560283687943258,-1.1560283687943258
132,0.4,20,20,400,20,45,0,10.29631775,93.98866018,0.252762129,0.099711503,3.205451426,-0.0230496453900715,0.0230496453900715
103,0.4,18,16,800,18,35,1,9.174117222,73.3934466,0.318998113,0.107295518,3.856799738,0.6560283687943258,-0.6560283687943258
106,0.4,18,18,0,21,63,0,12.98331026,131.7961693,0.187466757,0.094061504,1.741551316,0.3546099290780131,-0.3546099290780131
27,0.2,18,18,400,21,47,0,10.03079821,74.17777379,0.349289057,0.114281893,3.928234991,0.3244680851063813,-0.3244680851063813
59,0.2,20,22,1200,23,55,0,8.740696791,99.86466726,0.358579574,0.062676876,3.857024848,-0.0620567375886544,0.0620567375886544
64,0.2,22,16,1200,18,76,0,9.907426021,120.4232279,0.423314739,0.056967203,4.462239181,0.2358156028368765,-0.2358156028368765
85,0.4,16,16,1600,22,41,1,14.92027045,30.40466944,0.742532099,0.49907604,11.63290578,1.1985815602836871,-1.1985815602836871
94,0.4,16,20,1200,20,39,1,14.34858451,67.37677256,0.478567019,0.188594881,6.108512453,0.9343971631205668,-0.9343971631205668
9,0.2,16,18,1200,20,70,1,23.07480633,28.14777692,0.747570892,0.928581656,10.36858078,1.6507092198581534,-1.6507092198581534
38,0.2,18,22,800,22,40,1,8.718735,81.42255147,0.238717181,0.094869146,2.858488784,0.9751773049645376,-0.9751773049645376
156,0.4,22,22,0,20,69,1,8.761093073,108.140777,0.222011686,0.070850785,2.417020339,0.3971631205673747,-0.3971631205673747
159,0.4,22,22,1200,25,44,1,7.376949882,109.8755582,0.424335497,0.036113445,4.386133426,0.969858156028368,-0.969858156028368
64,0.2,22,16,1200,18,76,1,13.61349145,60.91632843,0.728443282,0.166766596,8.024675947,1.7358156028368763,-1.7358156028368763
21,0.2,18,16,0,20,52,0,11.59437791,68.67721558,0.370618534,0.150685669,4.555003705,0.645390070921984,-0.645390070921984
60,0.2,20,22,1600,20,53,1,10.30347053,76.55056,0.586692363,0.091041379,6.235157359,1.6595744680851046,-1.6595744680851046
144,0.4,22,16,1200,23,50,0,7.220453983,95.22299449,0.304208095,0.055492006,3.223159434,-0.4875886524822703,0.4875886524822703
158,0.4,22,22,800,19,82,1,14.60860851,99.68244553,0.4327643,0.122032264,5.086299705,0.9893617021276582,-0.9893617021276582
100,0.4,16,22,1600,20,30,1,14.71086168,42.61399587,0.662865069,0.327689799,8.547296025,1.1205673758865244,-1.1205673758865244
7,0.2,16,18,400,20,60,1,17.18536418,52.32788722,0.617820535,0.299932478,7.402823496,1.008865248226948,-1.008865248226948
153,0.4,22,20,800,18,80,1,5.190751395,63.62755458,0.264536486,0.05986017,2.829078337,0.9751773049645376,-0.9751773049645376
140,0.4,20,22,1600,20,45,0,5.474765833,119.0784423,0.153151838,0.038315726,1.740982193,-0.7730496453900716,0.7730496453900716
30,0.2,18,18,1600,20,60,1,15.44466559,38.65855535,0.638526114,0.42025766,11.0649648,1.758865248226948,-1.758865248226948
100,0.4,16,22,1600,20,30,0,5.417948338,90.32288869,0.140899593,0.053562043,1.220219421,-0.8794326241134756,0.8794326241134756
49,0.2,20,18,1200,22,65,1,12.34624618,77.10244497,0.578541516,0.117136183,6.310017321,1.5797872340425507,-1.5797872340425507
71,0.2,22,20,0,22,60,0,10.62957511,66.17078145,0.649819961,0.098695677,6.849850914,0.7588652482269481,-0.7588652482269481
142,0.4,22,16,400,23,53,1,3.186557957,74.26622391,0.139235247,0.033487999,1.508175742,0.5336879432624105,-0.5336879432624105
155,0.4,22,20,1600,25,55,1,9.084696492,94.41965103,0.379234908,0.07112203,4.109059601,1.297872340425531,-1.297872340425531
73,0.2,22,20,800,27,30,0,9.358317818,60.03456116,0.511870006,0.115435428,5.582409387,-0.1666666666666676,0.1666666666666676
131,0.4,20,20,0,20,45,1,8.49601734,115.535895,0.169875014,0.066685891,2.163351647,0.2269503546099284,-0.2269503546099284
35,0.2,18,20,1600,25,50,1,17.28513966,37.78844198,0.724599871,0.471051311,9.069764418,1.617021276595743,-1.617021276595743
122,0.4,20,16,400,20,57,0,10.45550814,91.1134402,0.251054933,0.104943396,3.336895978,0.0620567375886516,-0.0620567375886516
138,0.4,20,22,800,20,47,0,10.46495148,114.0198867,0.219729398,0.082895208,2.752504406,-0.258865248226951,0.258865248226951
59,0.2,20,22,1200,23,55,1,8.581653394,82.53866831,0.388595345,0.079350396,4.207563685,1.4379432624113455,-1.4379432624113455
101,0.4,18,16,0,20,32,1,7.697250007,95.09066582,0.205255452,0.07127178,2.653304776,0.134751773049645,-0.134751773049645
98,0.4,16,22,800,22,33,0,7.58878016,78.37556203,0.191423178,0.089418905,2.329860097,-0.3581560283687947,0.3581560283687947
119,0.4,18,22,1200,21,31,1,8.04954611,80.6576697,0.302814637,0.081658266,3.449060389,0.8776595744680847,-0.8776595744680847
150,0.4,22,18,1600,26,58,1,10.42550827,106.3029861,0.415165631,0.070817064,4.419536229,1.3191489361702118,-1.3191489361702118
19,0.2,16,22,1200,20,54,1,18.97862283,32.09666411,0.722745929,0.650144444,8.280362871,1.423758865248225,-1.423758865248225
86,0.4,16,18,0,20,50,0,10.35950495,98.82978439,0.288589514,0.089253104,3.422561734,0.2624113475177297,-0.2624113475177297
94,0.4,16,20,1200,20,39,0,8.02422565,95.34278234,0.192126872,0.075597083,2.358179842,-0.5656028368794331,0.5656028368794331
158,0.4,22,22,800,19,82,0,10.51118778,126.6246637,0.255195963,0.072087508,2.83791844,-0.0106382978723418,0.0106382978723418
103,0.4,18,16,800,18,35,0,5.730154234,82.64377912,0.171355141,0.060215776,1.959148094,-0.3439716312056742,0.3439716312056742
24,0.2,18,16,1200,24,41,1,11.66263444,61.19378408,0.419361121,0.170105147,5.291430979,1.2393617021276582,-1.2393617021276582
132,0.4,20,20,400,20,45,1,8.32580129,102.4618912,0.177171689,0.07422465,1.588560885,0.4769503546099284,-0.4769503546099284
18,0.2,16,22,800,23,49,0,9.273486017,62.74999619,0.311608326,0.130910004,3.528598636,0.1028368794326223,-0.1028368794326223
124,0.4,20,16,1200,20,60,1,17.96700079,57.86511421,0.669646684,0.27953428,10.62315737,1.0833333333333324,-1.0833333333333324
93,0.4,16,20,800,21,32,1,13.03183708,72.27944374,0.401227956,0.162273065,6.020137095,0.634751773049645,-0.634751773049645
145,0.4,22,16,1600,19,40,1,11.68083558,103.5232162,0.431084571,0.086835405,4.693090876,1.1914893617021272,-1.1914893617021272
117,0.4,18,22,400,20,60,0,11.81149151,107.856226,0.266030935,0.097328844,3.470170011,0.0833333333333323,-0.0833333333333323
127,0.4,20,18,400,20,45,1,8.463927055,102.020785,0.18946585,0.07485033,2.263215043,0.4769503546099284,-0.4769503546099284
121,0.4,20,16,0,20,55,1,10.00367527,112.7195517,0.205625823,0.079740224,2.585072109,0.297872340425531,-0.297872340425531
142,0.4,22,16,400,23,53,0,3.258920946,82.76711146,0.135563586,0.030250044,1.466662805,0.0336879432624105,-0.0336879432624105
109,0.4,18,18,1200,23,53,1,15.04084558,75.64877828,0.414420566,0.185353246,7.986091865,1.0336879432624104,-1.0336879432624104
15,0.2,16,20,1600,23,30,0,5.634241979,74.47688421,0.199624872,0.064655595,2.194169288,-0.6666666666666676,0.6666666666666676
77,0.2,22,22,400,27,50,1,4.338895443,44.10666148,0.263461121,0.069425011,2.839528544,0.8670212765957429,-0.8670212765957429
6,0.2,16,18,0,20,60,0,10.81901427,41.6318957,0.454458606,0.246680883,5.678403865,0.7588652482269481,-0.7588652482269481
126,0.4,20,18,0,20,57,0,10.22867768,99.77066676,0.25203316,0.090855408,3.103487316,0.3120567375886516,-0.3120567375886516
4,0.2,16,16,1200,20,60,0,5.038622101,62.39033381,0.140630493,0.076649793,1.993094499,0.0088652482269481,-0.0088652482269481
82,0.4,16,16,400,20,50,1,9.420810588,88.65221977,0.271756565,0.091214089,3.163014284,0.5124113475177297,-0.5124113475177297
101,0.4,18,16,0,20,32,0,8.287254424,81.74199581,0.249488259,0.089705366,3.235834669,0.134751773049645,-0.134751773049645
4,0.2,16,16,1200,20,60,1,19.86314323,37.20811049,0.683338383,0.566304171,3.079383814,1.508865248226948,-1.508865248226948
87,0.4,16,18,400,18,52,0,9.172009191,94.86289342,0.246090898,0.085218281,3.05946857,0.0265957446808502,-0.0265957446808502
160,0.4,22,22,1600,24,49,0,7.361954571,129.2980003,0.316362802,0.037988315,3.328296915,-0.7446808510638305,0.7446808510638305
70,0.2,22,18,1600,23,61,1,9.604653927,22.11299896,0.772884747,0.394022733,8.206931771,1.7730496453900688,-1.7730496453900688
113,0.4,18,20,800,20,58,1,12.49831024,72.81077703,0.334172858,0.159648067,5.347184878,0.8191489361702118,-0.8191489361702118
31,0.2,18,20,0,20,45,1,7.82,121.6,0.193,0.054715454,2.155390968,0.5460992907801403,-0.5460992907801403
26,0.2,18,18,0,20,52,1,8.392741017,91.34356181,0.195719316,0.083710415,2.425972293,0.645390070921984,-0.645390070921984
140,0.4,20,22,1600,20,45,1,11.50957349,66.00266139,0.479839754,0.144989178,5.794607608,1.2269503546099283,-1.2269503546099283
130,0.4,20,18,1600,20,57,1,19.91418963,59.71755981,0.584439362,0.322677708,13.29708644,1.3120567375886516,-1.3120567375886516
